sample-id,depth-id,iter-1,iter-2,iter-3,iter-4,iter-5,iter-6,iter-7,iter-8,iter-9,iter-10,iter_array
sampleID_1,depth-1,1,1,1,1,1,1,1,1,1,1,[1 1 1 1 1 1 1 1 1 1]
sampleID_1,depth-21,11,10,12,11,10,8,9,12,12,9,[11 10 12 11 10 8 9 12 12 9]
sampleID_1,depth-41,13,15,15,15,17,18,14,14,16,16,[13 15 15 15 17 18 14 14 16 16]
sampleID_1,depth-62,16,18,16,13,21,16,19,16,16,15,[16 18 16 13 21 16 19 16 16 15]
sampleID_1,depth-82,19,19,19,19,19,19,21,19,20,20,[19 19 19 19 19 19 21 19 20 20]
sampleID_1,depth-102,20,18,22,19,18,20,20,19,18,21,[20 18 22 19 18 20 20 19 18 21]
sampleID_1,depth-123,22,18,20,22,18,22,18,19,21,20,[22 18 20 22 18 22 18 19 21 20]
sampleID_1,depth-143,21,21,21,21,21,20,21,22,22,21,[21 21 21 21 21 20 21 22 22 21]
sampleID_1,depth-164,21,21,21,19,22,22,22,18,23,22,[21 21 21 19 22 22 22 18 23 22]
sampleID_1,depth-184,22,22,23,23,21,22,19,20,22,23,[22 22 23 23 21 22 19 20 22 23]
sampleID_1,depth-204,22,23,22,21,23,23,22,22,19,23,[22 23 22 21 23 23 22 22 19 23]
sampleID_1,depth-225,23,22,21,22,23,23,21,22,21,22,[23 22 21 22 23 23 21 22 21 22]
sampleID_1,depth-245,22,23,22,23,22,23,23,22,23,21,[22 23 22 23 22 23 23 22 23 21]
sampleID_1,depth-266,23,22,23,23,23,23,22,23,23,22,[23 22 23 23 23 23 22 23 23 22]
sampleID_1,depth-286,22,23,23,23,23,23,23,22,23,22,[22 23 23 23 23 23 23 22 23 22]
sampleID_1,depth-306,23,22,23,22,23,23,23,22,23,23,[23 22 23 22 23 23 23 22 23 23]
sampleID_1,depth-327,23,23,22,22,23,22,23,22,21,23,[23 23 22 22 23 22 23 22 21 23]
sampleID_1,depth-347,23,23,23,23,23,23,23,23,22,23,[23 23 23 23 23 23 23 23 22 23]
sampleID_1,depth-367,23,23,23,22,23,23,23,23,21,23,[23 23 23 22 23 23 23 23 21 23]
sampleID_1,depth-388,23,23,23,23,23,22,23,23,23,23,[23 23 23 23 23 22 23 23 23 23]
sampleID_1,depth-408,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_1,depth-429,23,22,23,23,23,23,23,23,23,23,[23 22 23 23 23 23 23 23 23 23]
sampleID_1,depth-449,23,23,23,23,22,23,23,23,23,23,[23 23 23 23 22 23 23 23 23 23]
sampleID_1,depth-469,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_1,depth-490,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_1,depth-510,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_1,depth-531,23,22,23,23,23,23,23,23,23,23,[23 22 23 23 23 23 23 23 23 23]
sampleID_1,depth-551,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_1,depth-571,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_1,depth-592,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_1,depth-612,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_1,depth-633,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_1,depth-653,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_1,depth-673,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_1,depth-694,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_1,depth-714,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_1,depth-734,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_1,depth-755,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_1,depth-775,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_1,depth-796,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1,depth-816,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1,depth-836,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1,depth-857,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1,depth-877,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1,depth-898,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1,depth-918,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1,depth-938,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1,depth-959,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1,depth-979,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1,depth-1000,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1a,depth-1,1,1,1,1,1,1,1,1,1,1,[1 1 1 1 1 1 1 1 1 1]
sampleID_1a,depth-21,16,12,15,17,14,15,15,9,13,14,[16 12 15 17 14 15 15 9 13 14]
sampleID_1a,depth-41,20,20,23,21,22,19,24,18,22,16,[20 20 23 21 22 19 24 18 22 16]
sampleID_1a,depth-62,25,31,23,26,30,31,28,24,26,29,[25 31 23 26 30 31 28 24 26 29]
sampleID_1a,depth-82,33,27,30,31,29,30,31,27,30,25,[33 27 30 31 29 30 31 27 30 25]
sampleID_1a,depth-102,35,30,34,28,33,31,33,36,34,29,[35 30 34 28 33 31 33 36 34 29]
sampleID_1a,depth-123,37,34,36,35,33,33,34,35,36,34,[37 34 36 35 33 33 34 35 36 34]
sampleID_1a,depth-143,40,36,35,36,34,34,36,32,35,35,[40 36 35 36 34 34 36 32 35 35]
sampleID_1a,depth-164,41,37,37,38,37,37,39,37,37,35,[41 37 37 38 37 37 39 37 37 35]
sampleID_1a,depth-184,39,38,39,35,38,34,36,39,40,40,[39 38 39 35 38 34 36 39 40 40]
sampleID_1a,depth-204,38,37,39,41,39,39,39,39,38,38,[38 37 39 41 39 39 39 39 38 38]
sampleID_1a,depth-225,39,40,40,40,36,41,40,38,36,40,[39 40 40 40 36 41 40 38 36 40]
sampleID_1a,depth-245,39,41,38,40,41,39,40,40,39,37,[39 41 38 40 41 39 40 40 39 37]
sampleID_1a,depth-266,40,39,40,40,40,41,39,41,42,41,[40 39 40 40 40 41 39 41 42 41]
sampleID_1a,depth-286,40,42,38,41,39,39,40,41,41,37,[40 42 38 41 39 39 40 41 41 37]
sampleID_1a,depth-306,40,40,39,41,40,42,40,41,41,42,[40 40 39 41 40 42 40 41 41 42]
sampleID_1a,depth-327,40,42,41,41,42,40,41,40,40,39,[40 42 41 41 42 40 41 40 40 39]
sampleID_1a,depth-347,41,42,42,41,42,40,40,41,42,41,[41 42 42 41 42 40 40 41 42 41]
sampleID_1a,depth-367,41,42,42,41,41,39,42,40,42,42,[41 42 42 41 41 39 42 40 42 42]
